Category,Article Title,URL,Real_Git_Date,Frontmatter_Date,Impressions_28d,Clicks_28d,Avg_Position,Bucket,Action,Impressions_90d_GSC,Clicks_90d_GSC,GSC_Note_2026-08-17
Decor,15 Coffee & Cafe Corner Ideas for Small Apartments,https://smallspacehome.ca/blog/small-apartment-coffee-corner-ideas,2026-08-07,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Decor,15 No-Damage Command Strip Decorating Hacks for Renters,https://smallspacehome.ca/blog/command-strip-decorating-hacks-renters,2026-08-05,,0,0,,A - Zero impressions (diagnose),WAIT (Renter-Friendly hub supporting post),0,0,
Decor,15 Renter-Friendly Gallery Wall Ideas (No Damage),https://smallspacehome.ca/blog/renter-friendly-gallery-wall-ideas,2026-08-07,,0,0,,A - Zero impressions (diagnose),WAIT (Renter-Friendly hub supporting post),0,0,
Decor,15 Small Apartment Reading Nook Ideas,https://smallspacehome.ca/blog/small-apartment-reading-nook-ideas,2026-07-30,,36,0,16.9,D - Steady / building authority,MONITOR,9,0,
Decor,15 Small Space Living Room Ideas,https://smallspacehome.ca/blog/small-space-living-room-ideas,2026-06-27,,313,0,39.9,"B - High impr, bad position (rewrite priority)","REWRITE-RETARGET (2nd biggest wasted-impression page); absorbed small-space-decorating + how-to-make-a-small-room-look-bigger content on 2026-08-17. CONFIRMED 2026-08-17: 284 impr/90d real GSC, positions 29-41 across ""decorating a small space"", ""small space living"", ""small living room ideas"" -- top rewrite priority after small-space-furniture.",284,0,see updated Action
Decor,7 Warm Earthy Color Palette Ideas for Small Rentals,https://smallspacehome.ca/blog/warm-earthy-color-palette-small-apartment,2026-08-01,,10,0,9.9,"C - Good position, low volume (leave alone)",MONITOR (good position),0,0,
Decor,Apartment Decor Ideas for Canadian Renters,https://smallspacehome.ca/blog/apartment-decor-ideas,2026-06-25,,2,0,4,"C - Good position, low volume (leave alone)","KEEP-PILLAR (Canadian-angle rewrite candidate, best position 4 in cluster)",0,0,
Decor,Cozy Winter Apartment Decor for Renters,https://smallspacehome.ca/blog/cozy-winter-apartment-decor,2026-06-25,,14,0,7.1,"C - Good position, low volume (leave alone)","MONITOR (seasonal, fine)",0,0,
Decor,Fall Apartment Decorating Ideas (Canada),https://smallspacehome.ca/blog/fall-apartment-decorating-ideas,2026-06-25,,1,0,5,"C - Good position, low volume (leave alone)","MONITOR (seasonal, fine)",0,0,
Decor,How to Decorate a Small Living Room,https://smallspacehome.ca/blog/how-to-decorate-a-small-living-room,2026-06-25,,46,0,25.3,D - Steady / building authority,REWRITE-RETARGET (furniture/living-room cluster),62,0,
Decor,Minimalist Small Apartment Ideas for Renters,https://smallspacehome.ca/blog/minimalist-small-apartment-ideas,2026-06-25,,53,1,23.3,D - Steady / building authority,REWRITE-RETARGET (furniture cluster),33,0,
Decor,Renter-Friendly Apartment Decor Ideas,https://smallspacehome.ca/blog/renter-friendly-apartment-decor-ideas,2026-06-25,,1,0,3,"C - Good position, low volume (leave alone)","KEEP-PILLAR (becomes Renter-Friendly hub anchor, pos 3)",4,0,
Decor,Small Apartment Home Office Ideas: Where to Actually Put a Desk,https://smallspacehome.ca/blog/small-apartment-home-office-ideas,2026-07-17,,236,1,19.9,D - Steady / building authority,"REWRITE-RETARGET (236 impr, pos 20, 0.42% CTR). CONFIRMED 2026-08-17: 147 impr/90d real GSC, best cluster position 20.7-27.4 -- closest of the big pages to reaching page 2, best ROI-per-effort rewrite target.",147,0,see updated Action
Decor,Small Bedroom Decor Ideas for Renters,https://smallspacehome.ca/blog/small-bedroom-decor-ideas,2026-06-25,,3,0,21.3,D - Steady / building authority,MONITOR,6,0,
Decor,Small Space Furniture: What Actually Works (3 Years of Real Testing),https://smallspacehome.ca/blog/small-space-furniture,2026-06-25,,424,1,58.4,"B - High impr, bad position (rewrite priority)","DO-NOT-REWRITE, DO-NOT-SPLIT (split plan reversed 2026-08-17) - content verified strong, well-linked; absorbed studio-apartment-ideas content on 2026-08-17. Pulled all ~90 real queries landing on this page from 90d GSC data: they are near-synonym phrasings of ONE intent (small/space-saving furniture), not distinct sub-intents -- splitting would cause keyword cannibalization, not fix anything. 406 impr/90d, positions 32-89 across the board, confirms a domain-authority ceiling (backlinks), not a content or structure problem. NO ACTION -- this is the ""one thing"" from the original audit.",406,0,see updated Action
Decor,"Vibey Apartment Living Room Ideas: Warm, Moody Styling",https://smallspacehome.ca/blog/vibey-apartment-living-room-ideas,2026-08-08,,2,0,6,"C - Good position, low volume (leave alone)",MONITOR,0,0,
Organization,14 Small Kitchen Organization Ideas,https://smallspacehome.ca/blog/small-space-kitchen-organization,2026-06-25,,54,0,23.8,D - Steady / building authority,"MONITOR/IMPROVE (decent impr, needs position work)",33,0,
Organization,15 IKEA Small Space Hacks for Apartments,https://smallspacehome.ca/blog/ikea-small-space-hacks,2026-06-25,,3,0,7,"C - Good position, low volume (leave alone)",MONITOR (good position),0,0,
Organization,15 Pet-Friendly Small Apartment Setup Ideas,https://smallspacehome.ca/blog/pet-friendly-small-apartment-ideas,2026-08-07,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Organization,January Reset: Apartment Organization,https://smallspacehome.ca/blog/january-reset-organization-ideas,2026-06-30,,2,0,5,"C - Good position, low volume (leave alone)","MONITOR (seasonal, fine)",0,0,
Organization,Quebec Moving Day Storage & Packing Guide for Renters,https://smallspacehome.ca/blog/quebec-moving-day-storage-guide,2026-07-27,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Organization,Small Apartment Beauty & Skincare Storage Ideas,https://smallspacehome.ca/blog/small-apartment-beauty-skincare-storage,2026-08-11,,2,0,8.5,"C - Good position, low volume (leave alone)",MONITOR,2,0,
Organization,Small Apartment Organization Guide,https://smallspacehome.ca/blog/small-apartment-organization,2026-06-25,,3,0,10.7,D - Steady / building authority,KEEP-PILLAR (Pillar 1 primary page candidate),5,0,
Organization,Small Apartment Paperwork Organization,https://smallspacehome.ca/blog/small-apartment-paperwork-mail-organization,2026-08-11,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Organization,Small Apartment Pet Supply Organization Ideas,https://smallspacehome.ca/blog/small-apartment-pet-supply-organization,2026-08-11,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Organization,Spring Cleaning Tips for Apartments,https://smallspacehome.ca/blog/spring-cleaning-organization-tips,2026-06-25,,14,0,7.4,"C - Good position, low volume (leave alone)","MONITOR (seasonal, fine)",0,0,
Storage,12 Vertical Storage Ideas for Apartments,https://smallspacehome.ca/blog/vertical-storage-ideas-small-apartment,2026-08-02,,87,1,27.1,D - Steady / building authority,MONITOR/IMPROVE (real query cluster match),41,0,
Storage,17 Fridge & Pantry Organization Ideas for Small Kitchens,https://smallspacehome.ca/blog/fridge-pantry-organization-small-apartment,2026-08-07,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Storage,23 Small Apartment Storage Ideas,https://smallspacehome.ca/blog/storage-ideas-for-small-places,2026-06-25,,3,0,28,D - Steady / building authority,"KEEP-PILLAR (Pillar 2 primary page candidate, needs position work)",25,0,
Storage,Bedroom Storage Ideas for Apartments,https://smallspacehome.ca/blog/small-apartment-bedroom-storage-ideas,2026-06-25,,36,0,53.6,D - Steady / building authority,"REWRITE-RETARGET (36 impr, pos 53.6)",24,0,
Storage,Condo Storage Ideas for Toronto & Vancouver Renters,https://smallspacehome.ca/blog/condo-storage-ideas-toronto-vancouver,2026-08-06,,0,0,,A - Zero impressions (diagnose),"RETARGETED 2026-08-17: added a new FAQ entry ""How do I maximize storage in a Toronto home?"" (broader than ""condo"") to match the real query ""how to maximize storage in a toronto home"" (12 impr/90d, currently still landing on the homepage at pos 74-82, not this page -- confirms this page needs more time/links to rank for it, not more content work for now). Indexing confirmed PASS.",0,0,see updated Action
Storage,Renter-Friendly Bike Storage Ideas,https://smallspacehome.ca/blog/renter-friendly-bike-storage-small-apartments,2026-08-11,,2,0,9,"C - Good position, low volume (leave alone)",MONITOR,0,0,
Storage,Seasonal Storage for Off-Season Clothes & Gear,https://smallspacehome.ca/blog/seasonal-storage-off-season-clothes-gear,2026-07-27,,0,0,,A - Zero impressions (diagnose),"WAIT-RECHECK-SEPT (already deep-diagnosed, indexed+linked)",0,0,
Storage,Small Apartment Balcony Storage Ideas for Canadian Renters,https://smallspacehome.ca/blog/small-apartment-balcony-storage-ideas,2026-07-27,,22,2,9.4,"C - Good position, low volume (leave alone)",MONITOR (good position),0,0,
Storage,Small Apartment Bathroom Storage Ideas,https://smallspacehome.ca/blog/small-apartment-bathroom-storage,2026-07-02,,76,0,22.1,D - Steady / building authority,"MONITOR/IMPROVE. CHECKED 2026-08-17: title/description/FAQ already target the exact real query (""where can i buy bathroom storage units that work in a rented flat?"", 23 impr @ pos 4.7 + 10 impr @ pos 5.1). Zero recorded clicks but n=33 impressions is too small to read as a real CTR problem (expected clicks at that position/volume ~1-2). NO CHANGE MADE -- already well-optimized, indexing confirmed PASS via URL Inspection.",54,0,see updated Action
Storage,Small Apartment Home Gym Storage Ideas,https://smallspacehome.ca/blog/small-apartment-home-gym-storage-setup,2026-08-11,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Storage,Small Apartment Laundry Storage Ideas,https://smallspacehome.ca/blog/small-apartment-laundry-storage-ideas,2026-07-27,,79,0,17.7,D - Steady / building authority,MONITOR/IMPROVE,31,0,
Storage,Small Apartment Pantry Organization on a Budget,https://smallspacehome.ca/blog/small-apartment-pantry-organization-budget,2026-08-11,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Storage,Small Apartment Shoe Storage Ideas for Renters,https://smallspacehome.ca/blog/small-apartment-shoe-storage-ideas,2026-08-11,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Storage,Small Apartment Storage Bins & Baskets Guide,https://smallspacehome.ca/blog/small-apartment-storage-bins-baskets-guide,2026-08-11,,0,0,,A - Zero impressions (diagnose),WAIT-RECHECK-SEPT,0,0,
Storage,Small Closet Organization Ideas for Rental Apartments,https://smallspacehome.ca/blog/small-closet-organization-rental-apartment,2026-07-27,,34,0,15.9,D - Steady / building authority,MONITOR,2,0,
Storage,Small Entryway & Hallway Storage Ideas for Apartments,https://smallspacehome.ca/blog/small-entryway-hallway-storage-ideas,2026-07-27,,52,2,15.2,D - Steady / building authority,MONITOR,15,0,
Storage,Small Living Room Storage: Furniture That Hides Clutter,https://smallspacehome.ca/blog/small-living-room-storage-solutions,2026-07-27,,59,0,37.7,D - Steady / building authority,"REWRITE-RETARGET (59 impr, pos 37.7)",40,0,
Storage,Under-Bed Storage Ideas for Small Apartments,https://smallspacehome.ca/blog/under-bed-storage-ideas-small-apartment,2026-07-27,,28,0,26.3,D - Steady / building authority,MONITOR,8,0,
Storage,Where to Buy Small-Space Storage Furniture,https://smallspacehome.ca/blog/where-to-buy-small-space-storage-furniture,2026-08-17,,,,,NEW-CONTENT-GAP,"WRITTEN 2026-08-17: answers the 3 real ""where to buy"" queries directly (retailer-by-retailer: IKEA, Amazon.ca, Wayfair Canada, HomeSense, Facebook Marketplace). Cross-linked from small-space-furniture and small-living-room-storage-solutions. Not yet indexed -- recheck GSC in September.",,,"written, awaiting indexation"
Storage,Storage Bed Buying Guide for Small Studios,https://smallspacehome.ca/blog/storage-bed-buying-guide-small-studio,2026-08-17,,,,,NEW-CONTENT-GAP,"WRITTEN 2026-08-17: answers the real query ""which space-saving storage bed should i choose for a small studio apartment?"" directly via a storage-bed-vs-risers-and-bins comparison. Cross-linked from small-apartment-bedroom-storage-ideas and under-bed-storage-ideas-small-apartment. Not yet indexed -- recheck GSC in September.",,,"written, awaiting indexation"
